drug,uses,dosage,warnings
1 Bladder, INDICATIONS:  For temporary relief of irritation.  INDICATIONS:  For temporary relief of irritation.,," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
12 Male Reproductive," INDICATIONS:  For the temporary relif of emotionlessness, denial, numbness, and unresponsiveness.  INDICATIONS:  For the temporary relif of emotionlessness, denial, numbness, and unresponsiveness.",," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
4 Kids Cold and Cough Day and Night Grape Flavor," Indications and Usage  update: Uses  Temporarily relieves symptoms of common cold in children, including: runny nose  sore throat sneezing cough  post nasal drip nasal or chest congestion", Dosage and Administration    Directions  5 mL up to 6 times per day (every 4 hours)  10 mL up to 6 times per day (every 4 hours)  15 mL up to 6 times per day (every 4 hours),
8 Small Intestine, INDICATIONS:  For the temporary relief of feeling vulnerable and feeling lost.  INDICATIONS:  For the temporary relief of feeling vulnerable and feeling lost.,," WARNINGS:   ​If pregnant or breast-feeding,  ​Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
911 Adrenal Burnout and Fatigue,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: 911 Adrenal.jpg"
911 Stress and Anxiety,,," Warnings   Stop use and consult a physician  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: 911.jpg"
ALLERGYCALM,,,
APIS MELLIFERA,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
APIS MELLIFICA 200CK,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
ARNICA MONTANA  30C - 3-PACK,,, WARNINGS  Stop use and ask a physician if symptoms persist for more than 3 days or worsen.
ARNICARE ARTHRITIS,,,
Acne Rescue, INDICATIONS:  Temporarily relieves symptoms associated with acne: • pimples • redness • itching • inflammation.** **These statements are based upon traditional homeopathic practice. They have not been reviewed by the Food and Drug Administration.,," WARNINGS:   For external use only.  ﻿When using this product  ﻿• Do not get into eyes   Stop use and ask a doctor if  • Condition worsens  • Symptoms last more than 7 days   Keep out of reach of children.    ﻿If pregnant or breast-feeding,"
Aconitum Napellus 30X,,,
Adrenal Tonic,,," WARNINGS:   If pregnant or breast-feeding,  Keep out of reach of children. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
Advanced Arnica Plus,,," Warnings   Stop use and consult a physician if  If pregnant or breast-feeding Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center immediately. Reference image: Advanced Arnica.jpg"
Airway Ease," INDICATIONS & USAGE SECTION  Formulated for symptoms such as wheezing, shortness of breath, congestion, coughing and inflammation.", DOSAGE & ADMINISTRATION SECTION   Directions:," WARNINGS SECTION   Warning: Keep out of reach of children. Do not use ​pregnant or breast-feeding,"
