file_name,title,full_text
334dd6d5-9484-efdb-e063-6394a90a5d55.xml,Swimmers Itch Guard,"Active ingredients

Neem Oil 3%

Warnings

Topical Oil – for External Use Only
                  Keep out of eyes. Flush thoroughly and gently with warm water for 10-15 minutes.

Stop use and consult physician if rash or irritation develops.

Consult physician before using if pregnant or nursing.

Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center immediately.

Directions

(for children 2 years and older and adults): Apply sunscreen first, especially spray-on sunscreens which contain alcohol (alcohol removes our product). Before entering the water, apply Swimmer’s Itch Guard to all uncovered skin that will be under water continuously for 5 minutes or longer. Apply liberally and evenly. When coming out of the water, light toweling off is best because it minimizes removal of Swimmer’s Itch Guard. Reapply after 30 minutes of water activity, taking a shower or hot-tub, or repeated hard toweling offs. Wash swimsuits separately in warm water.

These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease.

Inactive ingredients

Fractionated Coconut Oil, Olive Oil, Avocado Oil, High Oleic Sunflower Oil, Cinnamon Oil, d-alpha Tocopherol (Vitamin E)

Swimmers itch oil

Swimmers itch oil"
d468e774-0e0f-4284-b202-3001f5887da8.xml,Skin and Itch,"If symptoms persist or worsen, seek advice ofa veterinarian.
                  
                     
                     Keep out of reach of children.
                  
                  
                  Reference image:Skin and Itch.jpg

Pour ½ measuring teaspoon into fresh water.
                  Dosage is for cats of all sizes.
                  Reference image:Skin and Itch.jpg

Other information
                  
                  
                     Tamper resistant for your protection.
                  
                  
                     Use only if safety seal is intact.
                  
                  This product has not been clinically tested.
                  Questions? Call 866.298.2740
                  King Bio, Inc. 3 Westside Drive
                  Asheville, NC 2806 USA
                  FDA Reg. #1053442
                  For latest product information and instructions: www.DrKings.com
                  
                  Reference image:Skin and Itch.jpg

Keep out of reach of children.
                  
                  Reference image:Skin and Itch.jpg

Equal volumes of each HPUS** ingredient in 12X,30X, and 1LM potencies.
                  Agaricus muscarius, Alumina, Anagallis arvensis, Antimonium tartaricum, Apis mellifica, Arsenicum album, Arsenicum  iodatum, Bovista, Causticum, 
                     Dolichos pruriens, 
                     Fagopyrum esculentum, 
                     Graphites, 
                     Kali muriaticum, 
                     Muriaticum acidum, 
                     Oleander, 
                     Petroleum, 
                     Phosphorus, 
                     Pix liquida, 
                     Radium bromatum, 
                     Rhus tox, 
                     Selenium metallicum, 
                     Sulphur, 
                     Urtica urens.
                  
                  
                  **“HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopeia of the United States.
                  Reference image:Skin and Itch.jpg

For relief of:
                  Irritated, red, burning, itchy, dry, rough, scaly, chapped or cracked skin
                     
                  
                  
                     Rashes  
                  
                  
                     Fleabite dermatitis  
                  
                  
                     Hot spots
                  
                  Excessive gnawing or licking  
                  Skin eruptions
                  
                     Hair loss  
                  
                  
                     Generally unhealthy skin
                  
                  
                     † as per various homeopathic materia medicas.Claims based on traditional homeopathic practice,not accepted medical evidence. These uses havenot been evaluated by the FDA, and product hasnot been clinically tested
                  
                  Reference image:Skin and Itch.jpg

Citric Acid, Potassium sorbate, and Purified Water.
                  Reference image:Skin and Itch.jpg

Active ingredients                               Purpose †Equal volumes of each HPUS** ingredient in 12X,30X, and 1LM potencies.
                  Agaricus muscarius ...........................violent itchingAlumina ...........................................inflamed skinAnagallis arvensis ............................dry, scaly skinAntimonium tartaricum ................pustular eruptionsApis mellifica ................................red skin, edemaArsenicum album...........................rough, scaly skinArsenicum iodatum........................ dry, itching skinBovista.................................................crusty skinCausticum ........................violent itching, eruptionsDolichos pruriens..........................intense scratchingFagopyrum esculentum..............itching, red blotchesGraphites..........................unhealthy skin, eruptionsKali muriaticum..................................dry, scaly skinMuriaticum acidum .................itching skin eruptionsOleander......................................violent scratchingPetroleum ...................rough, cracked, leathery skinPhosphorus ...................................itching, hair lossPix liquida ...............................cracked, itching skinRadium bromatum......................scratching, rednessRhus tox ...................................... red, swollen skinSelenium metallicum .................itching between toesSulphur...............................dry, scaly, unhealthy skinUrtica urens ....................................itching, red spot
                  
                  **“HPUS” indicates the active ingredients are inthe official Homeopathic Pharmacopeia of theUnited States.
                  
                     Reference image:Skin and Itch.jpg"
352e379d-78d4-1ee6-e063-6294a90aa32e.xml,BELLADONNA 30C - 3-Pack,"HOMEOPATHIC DILUTION OF BELLADONNA 30c

Temporarily reducing sudden fever with perspiration - headache - inflammation*
                  *Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

(adults/children) Dissolve 5 pellets under the tongue 3 times a day until symptoms are relieved or as directed by a physician.

Condition listed above or as directed by a physician.

Stop use and ask a physician if symptoms persist for more than 3 days or worsen.

If pregnant or breast-feeding, ask a health professional before use.

Keep out of reach of children.

Store at room temperature.

Do not use if pellet-dispenser seal is broken.

Sucrose.

info@ollois.com * www.ollois.com * MADE IN FRANCE. NOT REVIEWED BY THE FDA AND NOT GUARANTEED TO BE EFFECTIVE. THIS HOMEOPATHIC DILUTION MAY NOT BE SUSEPTIBLE TO SCIENTIFIC MEASUREMENT."
340a9e19-c1ce-1fa8-e063-6394a90aebf6.xml,Seasonal Allergy Relief,"Relieves Runny Nose, Sneezing, Itchy or Watery Eyes, Nose or Throat

Drug Facts

Active Ingredients
                                    
                                 
                                 
                                    
                                       Purpose
                                    
                                 
                              
                              
                                 Allium Cepa 6X HPUS
                                 
                                    hay fever, watery eyes
                                 
                              
                              
                                 Galphimia Glauca 12X HPUS
                                 sneezing, runny nose
                              
                              
                                 Histaminum Hydrochloricum 12X HPUS
                                 sinus pain
                              
                              
                                 Luffa Operculata 12X HPUS
                                 sinus pain, headache
                              
                              
                                 Natrum Muriaticum 6X HPUS
                                 sneezing, itchy eyes
                              
                              
                                 Nux Vomica 6X HPUS (0.0000016% Alkaloids, calculated)
                                 itchy nose & throat
                              
                           
                        
                        
                           ""HPUS"" indicates the active ingredients are offiacial Homeopathic Pharmacopœia of the United States.

Uses

■ Temporarily relieves symptoms of hay fever and other upper respiratory allergies, including:
                  
                  ■ runny nose ■ sneezing ■ itchy or watery eyes
  
       
 
  
■ itchy nose or throat ■ sinus pain ■ headache

Warnings

Do not use

to treat food allergies.

Stop use and ask a doctor if

symptoms persist for more than 7 days or worsen.

If pregnant or breastfeeding

ask a health professional before use.

Keep out of reach of children.

Directions

■ Use as directed.
                  
                     
                        
                           Adults and children
     
          
    
     
			12 years and over
    
         
   
    
                           At onset of symptoms, dissolve 1-2 tablets
     
          
    
     
			under tongue every 4 hours until relieved

Inactive Ingredients

Acacia Gum, Lactose.

Questions?

www.hylands.com or care@hylands.com

Uses Changed to ■ Temporarily relieves symptoms of hay fever and other upper respiratory allergies, including: ■ runny nose ■ sneezing ■ itchy or watery eyes ■ itchy nose or throat ■ sinus pain ■ headache

Directions Adults and children 12 years and over: Dissolve 1-2 tablets
  
       
 
  
under tongue every 4 hours until relieved.
 
      

 
                  
                  
                  
                     05/09/2022 - Updates
                  
                  Directions
                  ■ Use as directed.
                  
                     
                        
                           Adults and children
     
          
    
     
			12 years and over
    
         
   
    
                           At onset of symptoms, dissolve 1-2 tablets
     
          
    
     
			under tongue every 4 hours until relieved.

PRINCIPAL DISPLAY PANEL

Hyland's 
                  
                  NATURALS™
                  SEASONAL
                  
                     ALLERGY
                  
                  
                     RELIEF*
                  
                  • Runny Nose
                  • Sneezing
                  • Itchy & Watery
                  Eyes, Nose
                  or Throat
                  
                     60
                  
                  
                     QUICK-DISSOLVING TABLETS
                  
                  HOMEOPATHIC"
e2fece65-4b20-490f-b058-60b87390ea7a.xml,Household Dust and Mold Mix,"Glandula Suprarenalis 6X, 12X, Hepar (Liver) 6X, 12X, Histaminum Hydrochloricum 12X, Alternaria Tenuis Nees 16X, 60X, 100X, Aspergillus Niger 16X, 60X, 100X, Candida Albicans 16X, 60X, 100X, Candida Parapsilosis 16X, 60X, 100, Dust 16X, 60X, 100, Mucor Racemosus 16X, 60X, 100, Torula Cerevisiae 16X, 60X, 100X, House Dust Mite 12C, 30C, Adrenocorticotrophin 15C, 30C, Rhizopus Nigricans 15C, 30C, 100C.

Provides factors that mitigate hypersensitivity to household dusts, molds and mites.†
                  †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

Professional Use Only
                  
                  
                     If pregnant or breast-feeding, ask a health professional before use.
                  In case of overdose, get medical help or contact a Poison Control Center right away.
                  If condition worsens, seek medical attention.
                  
                     KEEP OUT OF REACH OF CHILDREN
                  
                  
                     Do not use if tamper evident seal is broken or missing.
                  
                  
                     Store in a cool place after opening

In case of overdose, get medical help or contact a Poison Control Center right away.

Adults: 2 to 3 sprays orally, three times daily. Children under twelve one half adult dosage. Do not take within 15 minutes of consuming food, beverage or brushing teeth. Consult a physician for use in children under 12 years of age.

Provides factors that mitigate hypersensitivity to household dusts, molds and mites.†
                  †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

Alcohol USP 20%, Purified Water USP.

MANUFACTURED EXCLUSIVELY FOR
                  NUTRITIONAL SPECIALTIES, INC.
                  PO BOX 97227
                  PITTSBURG, PA 15229
                  www.phpltd.com

Professional
                  
                  
                     Health Products
                  
                  
                     HOMEOPATHIC
                  
                  
                     NDC 83027-0123-1
                  
                  
                     HOUSEHOLD
                  
                  
                     DUST & MOLD MIX
                  
                  
                     2 FL. OZ (60 ml)"
b55a39dd-d940-46ae-ab1f-8a9ef4a3413b.xml,Heart Small Intestine Meridian Opener,"Arsenicum Album 30C, Aurum Metallicum 30C, Cactus Grandiflorus 30C, Cinchona Officinalis 30C, Digitalis Purpurea 30C, Kali Carbonicum 30C, Lithium Carbonicum 30C, Lycopodium Clavatum 30C, Mercurius Solubilis 30C, Naja Tripudians 30C, Nux Vomica 30C, Phosphorus 30C, Pulsatilla (Pratensis) 30C, Pyrogenium 30C, Spigelia Anthelmia 30C.

Arsenicum Album - Tremor, Aurum Metallicum – Night Sweat, Cactus Grandiflorus – Abdominal Soreness, Cinchona Officinalis – Worse Sight and Smell of Food, Digitalis Purpurea - Flatus, Kali Carbonicum - Nausea, Lithium Carbonicum – Sore Bowels, Lycopodium Clavatum - Belching, Mercurius Solubilis - Tremor, Naja Tripudians - Belching, Nux Vomica – Abdominal Soreness, Phosphorus – Sore Bowels, Pulsatilla (Pratensis) - Flatus, Pyrogenium – Abdominal Soreness, Spigelia Anthelmia - Nausea

• For the temporary relief of symptoms including:
                  • tremor • night sweat • nausea • abdominal soreness
                  • sore bowels • flatus • belching • worse sight and smell of food
                  These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.

If pregnant or breastfeeding, ask a health professional before use.
                  
                     Keep out of reach of children. In case of overdose, contact a physician or Poison Control Center right away.
                  
                     Tamper Evident: Sealed for your protection. Do not use if seal is broken or missing.

In case of overdose, contact a physician or Poison Control Center right away.

1-10 drops under the tongue, 3 times a day or as directed by a health professional. Consult a physician for use in children under 12 years of age.

Demineralized water, 25% ethanol

Dist. By: Deseret Biologicals, Inc.
                  469 W. Parkland Drive
                  Sandy, UT 84070
                  www.desbio.co
                  800-827-8204

DesBio
                  
                  
                     Heart Small Intestine
                  
                  
                     Meridian Opener
                  
                  
                     Homeopathic
                  
                  
                     NDC 43742-2265-1
                  
                  
                     1 FL OZ (30 ml)"
bafe5892-0276-419c-9e3c-48226e30af34.xml,Vax Sode,"Thuja Occidentalis 6X, 30X, Calcarea Carbonica 9X, 30X, Silicea 9X, 30X, Salmonella Typhi Nosode 18X, Serum Anguillae 18X, Bacillus Tetani (Clostridium Tetani) 30X, Malandrinum 30X, Morbillinum 30X, Parotidinum 30X, Rubella Nosode 30X, Yersinia Enterocolitica 30X, Salmonella Enteriditis 18C.

Aids in temporary relief of symptoms including sweats, chills, minor aches of muscles and joints, fatigue and headache.†
                  †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

Professional Use Only
                  
                  
                     If pregnant or breast-feeding, ask a health professional before use.
                  In case of overdose, get medical help or contact a Poison Control Center right away.
                  If condition worsens, seek medical attention.
                  
                     KEEP OUT OF REACH OF CHILDREN
                  
                  
                     Do not use if tamper evident seal is broken or missing.
                  
                  
                     Store in a cool place after opening

In case of overdose, get medical help or contact a Poison Control Center right away.

Adults: 2 to 3 sprays orally, three times daily. Children under twelve one half adult dosage.
                  For high sensitive individuals: best tolerated administration is through imbrication (RUBBING IN) on skin at pulse points or abdomen.
                  Do not take within 15 minutes of consuming food, beverage or brushing teeth. Consult a physician for use in children under 12 years of age.

Aids in temporary relief of symptoms including sweats, chills, minor aches of muscles and joints, fatigue and headache.†
                  †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

Alcohol USP 20%, Purified Water USP.

MANUFACTURED EXCLUSIVELY FOR
                  
                  
                     NUTRITIONAL SPECIALTIES, INC.
                  
                  
                     PO BOX 97227
                  
                  
                     PITTSBURG, PA 15229
                  
                  
                     www.phpltd.com

Professional
                  
                  
                     Health Products
                  
                  
                     HOMEOPATHIC
                  
                  
                     NDC 83027-0071-1
                  
                  
                     VAX-SODE
                  
                  
                     2 FL. OZ (60 ml)"
34052c46-5d92-79f0-e063-6394a90a56da.xml,Bismuth Stibium,"Directions: FOR TOPICAL USE ONLY.

Apply once or twice daily to warts. Under age 2: Consult a doctor

Active Ingredients: 100 gm contains: 25 gm Allium sativa (Garlic) 1X, 25 gm Chelidonium (Greater celandine) 1X, 25 gm Curcuma (Turmeric) 1X, 25 gm Thuja (American arborvitae) 1X, 20 gm Bismuth 2X, 20 gm Stibium met. (Antimony) 2X

Inactive Ingredients: White petrolatum, Lanolin, Mineral oil, Glyceryl monostearate, Sorbic acid, Tea tree oil, Grapefruit seed extract
                  Prepared using rhythmical processes.

Use: Temporary relief of warts.

KEEP OUT OF REACH OF CHILDREN.

Warnings: Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated. Do not use if allergic to any ingredient. Consult a doctor before use for serious conditions, if conditions worsen or persist, or accidental ingestion occurs. If pregnant or nursing, consult a doctor before use. Avoid contact with eyes. Do not use if safety seal is broken or missing.

Questions? Call 866.642.2858
  
Made with care by Uriel, East Troy, WI 53120
  
shopuriel.com   Lot:"
346f68ea-73ab-99c6-e063-6394a90af5d5.xml,Bispit Canada Ltd.,"CELERY SEED
  
 MEDICAGO SATIVA WHOLE
  
CHICORY ROOT
  
GLUCOSAMINE HYDROCHLORIDE
  
BUCKWHEAT
  
LYSIMACHIA CHRISTINAE WHOLE
  
PUERARIN
  
MORUS ALBA LEAF
  
LICORICE
  
SODIUM CHLORIDE

Farewell To Gout
                  lmprove Metabolism
                  Balance Uric Acid

Keep out of reach of children

2. The product has great somatosensation after taking it atleast 21 days in the earty stage;3. Elevated uric acid or gout recurrence and site changes arenoral in the earty stage of taking this product;

Long-term administration of the product:1、Auxiliary effect on improving sexual desire and strengtheningprostate problems;
  
2、Auxiliary effect on kidney stones and bladder stones;

For your health, please read the followingcarefully
  
1. The use of three vials can effectivety dissolve crystallization (ittakes time to dissolve crystallization);2. The product has great somatosensation after taking it atleast 21 days in the early stage;3. Elevated uric acid or gout recurrence and site changes arenormal in the early stage of taking this product;4. Try not to drink alcohol or drink less 15 days before takingthis product;
  
5. This product certainly has significant effect on gout,crystallization and hyperuricemia;

Do not use if seal is broken.
                  Do not eat freshness packet enclosed.
                  Keep out of direct sunlight, high temperature, and humidity.
                  Store in a cool, dry place.

MICROCRYSTALLINE CELLULOSE
  
MALTOSYL-ISOMALTOTETRAOSE
  
CARBOXYMETHYLCELLULOSE SODIUM, UNSPECIFIED
  
MAGNESIUM STEARATE"
3d6bd4a0-0eb2-4612-9272-655724d07632.xml,Apizastat,"(in each drop): 6.24% of Alfalfa 2C, Anthracinum 12C, Argentum Metallicum 6C, Baptisia Tinctoria 12C, Calcarea Fluorica 6C, Chelidonium Majus 2C, Oxalis Acetosella 5C, Paloondo 2C, Paronichia Illecebrum 12C, Phytolacca Decandra 2C, Thuja Occidentalis 6C, Thymolum 7C, Urtica Dioica 2C, Verbascum Thapsus 2C, Viscum Album 2C, X-Ray 12C; 0.10% of Avena Sativa 1C, Beta Vulgaris 1C.

May temporarily relieve symptoms of fatigue, indigestion and abdominal pain with bloating.**
                  **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

If pregnant or breastfeeding, ask a health professional before use.
                  
                     Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.
                  Do not use if tamper evident seal is broken or missing.
                  Store in a cool, dry place.

Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.

Adults and children 5 to 10 drops orally, 3 times daily or as otherwise directed by a health care professional. If symptoms persist for more than 7 days, consult your health care professional. Consult a physician for use in children under 12 years of age.

May temporarily relieve symptoms of fatigue, indigestion and abdominal pain with bloating.**
                  **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.

Demineralized water, 20% Ethanol.

Dist. by Energique, Inc.
                  201 Apple Blvd.
                  Woodbine, IA 51579 800.869.8078

ENERGIQUE
                  
                  SINCE 1987
                  
                     HOMEOPATHIC REMEDY
                  
                  
                     APIZASTAT
                  
                  
                     1 fl. oz. (30 ml)"
